Build No.,CPU,Motherboard,RAM,GPU,PSU
147,AMD Ryzen 5 5600X,B550-PLUS,16 GB (2 x 8 GB) DDR4-3200,RTX 4060 Ti,750 W
148,Intel Core i7-13700KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
149,AMD Ryzen 9 7900X,B650M,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,1000 W
150,Intel Core i7-13700KF,B760-A,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
151,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
152,AMD Ryzen 5 5600X,B550M-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
153,AMD Ryzen 5 5600X,B550M,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
154,AMD Ryzen 9 7900X,B650M,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
155,Intel Core i5-13600KF,Z690-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
156,AMD Ryzen 5 5600X,B550,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
157,AMD Ryzen 7 7700X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
158,AMD Ryzen 5 5600X,B550-PLUS,32 GB (4 x 8 GB) DDR4-3600,RTX 4060,750 W
159,AMD Ryzen 9 7950X,X670E-CREATOR,192 GB (4 x 48 GB) DDR5-5200,RTX 4090,1600 W
160,Intel Core i5-13400F,Z690-A,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,850 W
161,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
162,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
163,AMD Ryzen 9 7900X,B650E-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
164,AMD Ryzen 9 7900X,X670E-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
165,AMD Ryzen 9 7900X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
166,Intel Core i5-13600KF,B760-CREATOR,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
167,AMD Ryzen 5 5600,B550M,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
168,Intel Core i7-13700KF,Z790M-ITX,64 GB (2 x 32 GB) DDR5-5200,RTX 4060 Ti,750 W
169,AMD Ryzen 9 7900X,B650M-A,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
170,AMD Ryzen 5 5600,X570-PLUS,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,850 W
