Build_No.,CPU,Motherboard,RAM,GPU,PSU
158,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS WIFI II ATX AM4,32 GB (4 x 8 GB) DDR4-3600,RTX 4060,750 W
159,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,192 GB (4 x 48 GB) DDR5-5200,RTX 4090,1600 W
160,Intel Core i5-13400F,MSI PRO Z690-A WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,850 W
161,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ICE ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
162,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
163,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
164,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
165,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
166,Intel Core i5-13600KF,Asus PROART B760-CREATOR D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
167,AMD Ryzen 5 5600,Gigabyte B550M DS3H Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
168,Intel Core i7-13700KF,ASRock Z790M-ITX WIFI Mini ITX LGA1700,64 GB (2 x 32 GB) DDR5-5200,RTX 4060 Ti,750 W
169,AMD Ryzen 9 7900X,MSI PRO B650M-A WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
170,AMD Ryzen 5 5600,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,850 W
171,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,750 W
172,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
173,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,1000 W
174,Intel Core i7-13700KF,Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
175,Intel Core i5-13600KF,ASRock Z790 PG SONIC ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
176,Intel Core i5-13600KF,Asus PRIME Z790-A WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,1000 W
177,Intel Core i5-13600KF,MSI MPG B760I EDGE WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,1000 W
