Build_No.,CPU,Motherboard,RAM,GPU,PSU
707,Intel Core i5-13400F,Gigabyte B760M GAMING X DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
708,AMD Ryzen 5 5600X,Asus ROG STRIX B550-A GAMING ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060 Ti,750 W
709,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
710,AMD Ryzen 5 5600,Asus PRIME B450-PLUS ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,600 W
711,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4070 Ti,850 W
712,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
713,AMD Ryzen 9 7950X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1200 W
714,AMD Ryzen 5 5600X,Asus ROG Strix B450-I Gaming Mini ITX,16 GB (2 x 8 GB) DDR4-3600,RTX 4070,450 W
715,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5£284.99,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,750 W
716,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1600 W
717,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
718,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
719,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
720,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
721,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,850 W
722,Intel Core i5-13600KF,MSI MAG B760 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
723,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
724,AMD Ryzen 7 7700X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
725,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
726,AMD Ryzen 9 7950X,Asus PROART B650-CREATOR ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
727,AMD Ryzen 9 7950X,Asus PRIME X670E-PRO WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
728,AMD Ryzen 7 7700X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
729,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
730,AMD Ryzen 9 7950X,Asus PROART B650-CREATOR ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
731,AMD Ryzen 7 7700X,Asus PRIME B650M-A AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,650 W
732,AMD Ryzen 5 5600X,MSI MPG B550 GAMING PLUS ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
733,Intel Core i5-13600KF,MSI PRO Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
734,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
735,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
736,AMD Ryzen 9 7900X,ASRock B650E STEEL LEGEND WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
737,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
738,Intel Core i7-13700KF,Gigabyte Z790 GAMING X AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
739,AMD Ryzen 7 7700X,MSI MPG B650 EDGE WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
740,AMD Ryzen 7 7700X,NZXT N7 B650E ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
741,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
742,AMD Ryzen 5 5600X,MSI MPG B550 GAMING PLUS ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,850 W
743,Intel Core i7-13700KF,MSI MPG Z790 EDGE WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
744,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
745,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
746,AMD Ryzen 9 7900X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
747,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
748,AMD Ryzen 9 7950X,Gigabyte X670E AORUS XTREME (rev. 1.0) EATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
749,AMD Ryzen 9 7950X,ASRock X670E Taichi EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
750,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
751,AMD Ryzen 9 7950X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,128 GB (4 x 32 GB) DDR5-5600,RTX 4090,1300 W
752,AMD Ryzen 9 7950X,MSI MPG X670E CARBON WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
753,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
754,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
755,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
756,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
757,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-F GAMING WIFI ATX AM5£375.97,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
